session_id,model,input_tokens,output_tokens,total_tokens
0227fc3c824c406f8bf90a22a4a56ac3,deepseek-chat,850,352,1202
0227fc3c824c406f8bf90a22a4a56ac3,unknown,0,0,0
02302d6756734286978541f71a45d7c8,ark/deepseek-v3,467,96,563
02302d6756734286978541f71a45d7c8,unknown,0,0,0
023863dbb4074097a18b76846264340f,ark/deepseek-v3,467,94,561
023863dbb4074097a18b76846264340f,unknown,0,0,0
023bf225d44841e6a986f1b7288dba41,deepseek-chat,670,366,1036
023bf225d44841e6a986f1b7288dba41,unknown,0,0,0
023cc327b3e9495fad187216288b96ce,deepseek-chat,1580,715,2295
023cc327b3e9495fad187216288b96ce,unknown,0,0,0
023deec197844a3c89010327ad0270af,ark/deepseek-v3,1455,203,1658
023deec197844a3c89010327ad0270af,unknown,0,0,0
0245edb318d1415d99db9423de510b91,deepseek-chat,671,430,1101
0245edb318d1415d99db9423de510b91,unknown,0,0,0
024ce18d088b4dd183e505aceac404a6,ark/deepseek-v3,467,96,563
024ce18d088b4dd183e505aceac404a6,unknown,0,0,0
0255844f5b0d49e991c0fdd5605b4315,ark/deepseek-v3,467,97,564
0255844f5b0d49e991c0fdd5605b4315,unknown,0,0,0
0265b3f25e8b48a19deede78c99030d9,deepseek-chat,2637,911,3548
0265b3f25e8b48a19deede78c99030d9,unknown,0,0,0
02699ce1fbb54d7497ccab11ee8f442b,ark/deepseek-v3,467,93,560
02699ce1fbb54d7497ccab11ee8f442b,unknown,0,0,0
026c373bc5254de581619ba8bfb56dfd,deepseek-chat,3361,1455,4816
026c373bc5254de581619ba8bfb56dfd,gpt-4.1,3373,909,4282
026c373bc5254de581619ba8bfb56dfd,unknown,0,0,0
026d24f32a384482bae8ba1b20926360,ark/deepseek-v3,1455,222,1677
026d24f32a384482bae8ba1b20926360,unknown,0,0,0
02729e27848b4096a046f25b8a19949b,ark/deepseek-v3,1340,582,1922
02729e27848b4096a046f25b8a19949b,unknown,0,0,0
027497be54f8496b9f6eae2b51fb0690,deepseek-chat,2135,487,2622
027497be54f8496b9f6eae2b51fb0690,unknown,0,0,0
0280ac36880843a08b62a8e0504c43ed,ark/deepseek-v3,1455,196,1651
0280ac36880843a08b62a8e0504c43ed,unknown,0,0,0
02814f682479406ebf587f1d1ad802d7,ark/deepseek-v3,3379,1207,4586
02814f682479406ebf587f1d1ad802d7,unknown,0,0,0
02820e1dfb9b4145ade697204a9d2498,ark/deepseek-v3,701,174,875
02820e1dfb9b4145ade697204a9d2498,unknown,0,0,0
028a1f96ca8a4ae8905bf6b0dd1289af,ark/deepseek-v3,0,0,0
028a1f96ca8a4ae8905bf6b0dd1289af,unknown,0,0,0
028a26e563b24e6bac28e23e107832e9,ark/deepseek-v3,13447,2563,16010
028a26e563b24e6bac28e23e107832e9,deepseek-chat,4106,184,4290
028a26e563b24e6bac28e23e107832e9,unknown,0,0,0
028e7ec0541b4c0b81539dd940535298,ark/deepseek-v3,1236,377,1613
028e7ec0541b4c0b81539dd940535298,unknown,0,0,0
02918ca7f92040788d50cd5760af0479,unknown,0,0,0
0298d699236245aab3fdd7dc6619c6d5,ark/deepseek-v3,1089,299,1388
0298d699236245aab3fdd7dc6619c6d5,unknown,0,0,0
029b0068fb244882829398fa9a442d67,ark/deepseek-v3,467,113,580
029b0068fb244882829398fa9a442d67,unknown,0,0,0
02a4937c00644b9599fb5f6357f6b1d5,ark/deepseek-v3,1089,348,1437
02a4937c00644b9599fb5f6357f6b1d5,unknown,0,0,0
02a79a81720643fb97286dd32fd53e54,deepseek-chat,784,329,1113
02a79a81720643fb97286dd32fd53e54,unknown,0,0,0
02ac543b3c5642d8b91d977c42f9f293,unknown,0,0,0
