session_id,model,input_tokens,output_tokens,total_tokens
1082a920a7ad4c1aa319eccb541ec1f7,deepseek-chat,114,433,547
1082a920a7ad4c1aa319eccb541ec1f7,unknown,0,0,0
1093fab2e2944f50a37a5affaf316b86,ark/deepseek-v3,1298,307,1605
1093fab2e2944f50a37a5affaf316b86,gpt-4.1,4333,733,5066
1093fab2e2944f50a37a5affaf316b86,unknown,0,0,0
1096b8f3e8214e6e9de748f284c89c39,unknown,0,0,0
10e4152d754c44c88ea8c408c110d880,ark/deepseek-v3,1455,181,1636
10e4152d754c44c88ea8c408c110d880,unknown,0,0,0
10ed4d6645464dbda7af4100521effff,deepseek-chat,4,76,80
10ed4d6645464dbda7af4100521effff,unknown,0,0,0
1106b45c8b694f0e88e5bd24ecc66735,deepseek-chat,3768,709,4477
1106b45c8b694f0e88e5bd24ecc66735,gpt-4.1,3911,489,4400
1106b45c8b694f0e88e5bd24ecc66735,unknown,0,0,0
112f4cf724d344dd91387ea979f3d82e,unknown,0,0,0
1152d9977cab4ff28f8e6d1eb42cf130,deepseek-chat,0,0,0
1152d9977cab4ff28f8e6d1eb42cf130,unknown,0,0,0
11590e596f5e411a94cc6de84efbce6a,ark/deepseek-v3,2213,319,2532
11590e596f5e411a94cc6de84efbce6a,unknown,0,0,0
115e598eba724aabb1d8ca6c6a4f9ae0,unknown,0,0,0
118b0ad289d34ad09a3f1b0ba8024121,ark/deepseek-v3,2667,841,3508
118b0ad289d34ad09a3f1b0ba8024121,unknown,0,0,0
11dcca4e5e3448b2a58bab5db2bb33f3,deepseek-chat,650,51,701
11dcca4e5e3448b2a58bab5db2bb33f3,unknown,0,0,0
11e8d4f0fed946348849f24ca512d9f3,unknown,0,0,0
11ec2eccbacb40dfa7cd2b484797cb02,ark/deepseek-v3,465,94,559
11ec2eccbacb40dfa7cd2b484797cb02,unknown,0,0,0
120573ac64d040d8a264947cc74e88a4,deepseek-chat,828,874,1702
120573ac64d040d8a264947cc74e88a4,unknown,0,0,0
120da9e911cd4a37983457fd4ceec577,ark/deepseek-v3,465,94,559
121c747b423c4688a4a83623a485a5ae,deepseek-chat,5,15,20
